,customerID,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
0,7590-VHVEG,DSL,No,Yes,No,No,No,No
1,5575-GNVDE,DSL,Yes,No,Yes,No,No,No
2,3668-QPYBK,DSL,Yes,Yes,No,No,No,No
3,7795-CFOCW,DSL,Yes,No,Yes,Yes,No,No
4,9237-HQITU,Fiber optic,No,No,No,No,No,No
5,9305-CDSKC,Fiber optic,No,No,Yes,No,Yes,Yes
6,1452-KIOVK,Fiber optic,No,Yes,No,No,Yes,No
7,6713-OKOMC,DSL,Yes,No,No,No,No,No
8,7892-POOKP,Fiber optic,No,No,Yes,Yes,Yes,Yes
9,6388-TABGU,DSL,Yes,Yes,No,No,No,No
10,9763-GRSKD,DSL,Yes,No,No,No,No,No
11,8091-TTVAX,Fiber optic,No,No,Yes,No,Yes,Yes
12,0280-XJGEX,Fiber optic,No,Yes,Yes,No,Yes,Yes
13,5129-JLPIS,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
14,3655-SNQYZ,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
15,9959-WOFKT,Fiber optic,Yes,No,Yes,No,Yes,Yes
16,4190-MFLUW,DSL,No,No,Yes,Yes,No,No
17,4183-MYFRB,Fiber optic,No,Yes,Yes,No,No,Yes
18,8779-QRDMV,DSL,No,No,Yes,No,No,Yes
19,3638-WEABW,DSL,No,Yes,No,Yes,No,No
20,6322-HRPFA,DSL,Yes,Yes,No,Yes,No,No
21,6865-JZNKO,DSL,Yes,Yes,No,No,No,No
22,6467-CHFZW,Fiber optic,No,Yes,No,No,Yes,Yes
23,8665-UTDHZ,DSL,No,Yes,No,No,No,No
24,5248-YGIJN,DSL,Yes,Yes,Yes,Yes,Yes,Yes
25,8773-HHUOZ,DSL,No,No,No,No,Yes,Yes
26,3841-NFECX,Fiber optic,Yes,Yes,Yes,Yes,No,No
27,4929-XIHVW,Fiber optic,No,No,Yes,No,Yes,Yes
28,6827-IEAUQ,DSL,Yes,Yes,Yes,Yes,No,No
29,3413-BMNZE,DSL,No,No,No,No,No,No
30,6234-RAAPL,Fiber optic,Yes,Yes,No,Yes,Yes,No
31,6047-YHPVI,Fiber optic,No,No,No,No,No,No
32,6572-ADKRS,Fiber optic,No,No,Yes,No,No,No
33,5380-WJKOV,Fiber optic,No,Yes,Yes,No,Yes,Yes
34,8168-UQWWF,Fiber optic,No,No,Yes,No,Yes,Yes
35,8865-TNMNX,DSL,No,Yes,No,No,No,No
36,9489-DEDVP,DSL,Yes,Yes,No,No,Yes,No
37,4671-VJLCL,DSL,Yes,Yes,Yes,Yes,Yes,No
38,4080-IIARD,DSL,Yes,Yes,No,Yes,Yes,No
39,3714-NTNFO,Fiber optic,No,No,No,No,No,Yes
40,5948-UJZLF,DSL,No,Yes,No,No,No,No
41,7760-OYPDY,Fiber optic,No,No,No,No,Yes,No
42,7639-LIAYI,DSL,Yes,No,No,Yes,Yes,Yes
43,2954-PIBKO,DSL,Yes,No,Yes,Yes,No,No
