,customerID,MultipleLines
0,5575-GNVDE,No
1,3668-QPYBK,No
2,9237-HQITU,No
3,9305-CDSKC,Yes
4,1452-KIOVK,Yes
5,7892-POOKP,Yes
6,6388-TABGU,No
7,9763-GRSKD,No
8,7469-LKBCI,No
9,8091-TTVAX,Yes
10,0280-XJGEX,Yes
11,5129-JLPIS,No
12,3655-SNQYZ,Yes
13,8191-XWSZG,No
14,9959-WOFKT,Yes
15,4190-MFLUW,No
16,4183-MYFRB,No
17,1680-VDCWW,No
18,1066-JKSGK,No
19,3638-WEABW,Yes
20,6322-HRPFA,No
21,6865-JZNKO,No
22,6467-CHFZW,Yes
23,5248-YGIJN,Yes
24,8773-HHUOZ,No
25,3841-NFECX,Yes
26,4929-XIHVW,No
27,6827-IEAUQ,No
28,7310-EGVHZ,No
29,3413-BMNZE,No
30,6234-RAAPL,Yes
31,6047-YHPVI,No
32,6572-ADKRS,No
33,5380-WJKOV,Yes
34,8168-UQWWF,Yes
35,8865-TNMNX,No
36,9489-DEDVP,Yes
37,9867-JCZSP,No
38,4671-VJLCL,Yes
39,4080-IIARD,Yes
40,3714-NTNFO,Yes
41,5948-UJZLF,No
42,7760-OYPDY,No
43,7639-LIAYI,Yes
44,2954-PIBKO,Yes
45,8012-SOUDQ,Yes
46,9420-LOJKX,No
47,6575-SUVOI,Yes
48,7495-OOKFY,Yes
49,4667-QONEA,No
50,1658-BYGOY,Yes
51,8769-KKTPH,Yes
52,5067-XJQFU,Yes
53,3957-SQXML,Yes
54,5954-BDFSG,Yes
55,0434-CSFON,Yes
56,1215-FIGMP,Yes
57,0557-ASKVU,No
58,5698-BQJOH,Yes
59,5122-CYFXA,No
60,8627-ZYGSZ,Yes
61,3410-YOQBQ,No
62,3170-NMYVV,No
63,7410-OIEDU,No
64,2273-QCKXA,No
65,0731-EBJQB,No
66,1891-QRQSA,Yes
67,8028-PNXHQ,Yes
68,5630-AHZIL,No
69,2673-CXQEU,Yes
70,6416-JNVRK,No
71,5590-ZSKRV,No
72,0191-ZHSKZ,No
73,3887-PBQAO,Yes
74,5919-TMRGD,No
75,9191-MYQKX,No
76,9919-YLNNG,No
77,0318-ZOPWS,No
78,4445-ZJNMU,Yes
79,4808-YNLEU,No
80,1862-QRWPE,No
81,2796-NNUFI,No
82,4767-HZZHQ,No
83,2424-WVHPL,No
84,7233-PAHHL,Yes
85,6067-NGCEU,Yes
86,9848-JQJTX,Yes
87,8637-XJIVR,Yes
88,9803-FTJCG,Yes
89,0278-YXOOG,No
90,3212-KXOCR,No
91,4598-XLKNJ,No
92,6380-ARCEH,No
93,3679-XASPY,No
94,7123-WQUHX,Yes
95,3192-NQECA,Yes
96,6728-DKUCO,Yes
97,8597-CWYHH,Yes
98,2848-YXSMW,No
99,0486-HECZI,Yes
